ObjectID,GlobalID,CreationDate,Creator,EditDate,Editor,Block,Row In Block,x,y
2,bacd4769-d06f-4054-9d2d-785720f673fa,6/26/2024 10:22:42 PM,agoebl,6/26/2024 10:22:42 PM,agoebl,1,1,-105.100846209863,39.5432436784356
3,1697eef7-ac8f-43e6-a034-3473e7d57191,6/26/2024 10:22:43 PM,agoebl,6/26/2024 10:22:43 PM,agoebl,1,2,-105.100759198941,39.543165738363
4,fbf942d3-a3f9-4097-af8a-d600e4bff132,6/26/2024 10:22:44 PM,agoebl,6/26/2024 10:22:44 PM,agoebl,1,3,-105.10071662602,39.5431613808677
5,8b9ffa9f-82cc-41b7-a013-2bdc2d516a32,6/26/2024 10:22:45 PM,agoebl,6/26/2024 10:22:45 PM,agoebl,1,4,-105.100736013351,39.5431678382949
6,6ad7dafd-9600-437d-b5e3-550053a85fdc,6/26/2024 10:22:46 PM,agoebl,6/26/2024 10:22:46 PM,agoebl,2,1,-105.100718515561,39.5432721098608
7,6a5cd363-1951-4c4d-bbe3-798c59fc4c69,6/26/2024 10:22:47 PM,agoebl,6/26/2024 10:22:47 PM,agoebl,2,2,-105.100702772188,39.5431673509095
8,5840050c-0d9e-4c7b-ae02-a2c997133e16,6/26/2024 10:22:48 PM,agoebl,6/26/2024 10:22:48 PM,agoebl,2,3,-105.100702406105,39.5431820118991
9,edbbe058-f3c8-432c-950a-6d13e3be03ad,6/26/2024 10:22:49 PM,agoebl,6/26/2024 10:22:49 PM,agoebl,2,4,-105.100678604737,39.5432418408248
10,d2d29776-9dbf-46b5-8cc2-5192f4c4357f,6/26/2024 10:22:50 PM,agoebl,6/26/2024 10:22:50 PM,agoebl,3,1,-105.100675142858,39.543162306813
11,5067e859-fd11-49a5-a3a3-de2b3d65dfdd,6/26/2024 10:22:51 PM,agoebl,6/28/2024 7:17:16 PM,agoebl,3,2,-105.100675157605,39.543222520403
12,0daf3adb-f8cd-405a-b8d6-bcb86b0949ed,6/26/2024 10:22:52 PM,agoebl,6/26/2024 10:22:52 PM,agoebl,3,3,-105.100644705963,39.5431669643357
13,89fafe03-0816-4482-8013-9602aa0029e0,6/26/2024 10:22:52 PM,agoebl,6/26/2024 10:22:52 PM,agoebl,3,4,-105.100634785173,39.543241810953
14,a9c95bcd-a5aa-48b5-a970-f3cdaccf840d,6/26/2024 10:22:53 PM,agoebl,6/26/2024 10:22:53 PM,agoebl,4,1,-105.100644200901,39.5432152760879
15,77959306-4a27-4c5f-a889-ae5303e8d5fb,6/26/2024 10:22:54 PM,agoebl,6/26/2024 10:22:54 PM,agoebl,4,2,-105.100610308825,39.5432239395654
16,e0c858cc-5171-4893-9ecf-a24a6bb13a2b,6/26/2024 10:22:55 PM,agoebl,6/26/2024 10:22:55 PM,agoebl,4,3,-105.100637197879,39.5432431754154
17,faf525c5-8b3b-4f9f-910a-b737501a2d9d,6/27/2024 8:40:00 PM,agoebl,6/27/2024 8:40:00 PM,agoebl,6,1,-105.100544833333,39.5431616666667
18,ca3c2247-2ca3-4511-9c86-2110cfc3741d,6/27/2024 8:40:03 PM,agoebl,6/27/2024 8:40:03 PM,agoebl,6,2,-105.1005425,39.5432518333333
19,73df4996-9792-4f96-8640-351769a8a31c,6/27/2024 8:40:04 PM,agoebl,6/27/2024 8:40:04 PM,agoebl,6,3,-105.1005125,39.5432131666667
20,3a144d0c-dc66-4aad-ba14-1aadc26183cf,6/27/2024 8:40:06 PM,agoebl,6/27/2024 8:40:06 PM,agoebl,6,4,-105.100531833333,39.5432
21,861faaca-941b-47e4-b8d9-5450aeb6a389,6/27/2024 8:40:06 PM,agoebl,6/27/2024 8:40:06 PM,agoebl,4,3,-105.10054101,39.54316462
22,2698c10b-604e-4687-8d59-48b0f0658f20,6/27/2024 8:40:06 PM,agoebl,6/27/2024 8:40:06 PM,agoebl,4,4,-105.10061469,39.5432424
23,09499ac7-6ccb-4ad7-bf6e-4fbf9ab3d854,6/27/2024 8:40:06 PM,agoebl,6/27/2024 8:40:06 PM,agoebl,7,1,-105.100513833333,39.5431921666667
