plantID,flowering,survival,plantID_db,date
1,0,1,1136,9/3/2024
2,0,1,1137,9/3/2024
3,,0,1138,9/3/2024
4,1,1,1139,9/3/2024
5,1,1,1140,9/3/2024
6,0,1,1141,9/3/2024
7,1,1,1142,9/3/2024
8,,0,1143,9/3/2024
9,1,1,1144,9/3/2024
10,1,1,1145,9/3/2024
11,0,1,1146,9/3/2024
12,1,1,1147,9/3/2024
13,1,1,1148,9/3/2024
14,1,1,1149,9/3/2024
15,1,1,1150,9/3/2024
16,1,1,1151,9/3/2024
17,,0,1152,9/3/2024
18,0,1,1153,9/3/2024
19,,0,1154,9/3/2024
20,1,1,1155,9/3/2024
21,1,1,1156,9/3/2024
22,,0,1157,9/3/2024
23,1,1,1158,9/3/2024
24,0,1,1159,9/3/2024
25,1,1,1160,9/3/2024
26,1,1,1161,9/3/2024
27,,0,1162,9/3/2024
28,,0,1163,9/3/2024
29,1,1,1164,9/3/2024
30,,0,1165,9/3/2024
31,1,1,1166,9/3/2024
32,,0,1167,9/3/2024
33,0,1,1168,9/3/2024
34,0,1,1169,9/3/2024
35,,0,1170,9/3/2024
36,1,1,1171,9/3/2024
37,,0,1172,9/3/2024
38,1,1,1173,9/3/2024
39,,0,1174,9/3/2024
40,,0,1175,9/3/2024
41,1,1,1176,9/3/2024
42,0,1,1177,9/3/2024
43,0,1,1178,9/3/2024
44,0,1,1179,9/3/2024
45,1,1,1180,9/3/2024
46,1,1,1181,9/3/2024
47,,0,1182,9/3/2024
48,1,1,1183,9/3/2024
49,,0,1184,9/3/2024
50,1,1,1185,9/3/2024
51,0,1,1186,9/3/2024
52,1,1,1187,9/3/2024
53,0,1,1188,9/3/2024
54,1,1,1189,9/3/2024
55,0,1,1190,9/3/2024
56,0,1,1191,9/3/2024
57,,0,1192,9/3/2024
58,,0,1193,9/3/2024
59,1,1,1194,9/3/2024
60,,0,1195,9/3/2024
61,0,1,1196,9/3/2024
62,0,1,1197,9/3/2024
63,,0,1198,9/3/2024
64,0,1,1199,9/3/2024
65,1,1,1200,9/3/2024
66,0,1,1201,9/3/2024
67,1,1,1202,9/3/2024
68,1,1,1203,9/3/2024
69,0,1,1204,9/3/2024
70,0,1,1205,9/3/2024
71,0,1,1206,9/3/2024
72,1,1,1207,9/3/2024
73,1,1,1208,9/3/2024
74,0,1,1209,9/3/2024
75,0,1,1210,9/3/2024
76,1,1,1211,9/3/2024
77,1,1,1212,9/3/2024
78,1,1,1213,9/3/2024
79,1,1,1214,9/3/2024
80,1,1,1215,9/3/2024
81,0,1,1216,9/3/2024
82,1,1,1217,9/3/2024
83,0,1,1218,9/3/2024
84,1,1,1219,9/3/2024
85,1,1,1220,9/3/2024
86,1,1,1221,9/3/2024
87,1,1,1222,9/3/2024
88,0,1,1223,9/3/2024
89,1,1,1224,9/3/2024
90,,0,1225,9/3/2024
91,0,1,1226,9/3/2024
92,,0,1227,9/3/2024
93,1,1,1228,9/3/2024
94,1,1,1229,9/3/2024
95,1,1,1230,9/3/2024
96,0,1,1231,9/3/2024
97,1,1,1232,9/3/2024
98,0,1,1233,9/3/2024
99,0,1,1234,9/3/2024
100,1,1,1235,9/3/2024
101,1,1,1236,9/3/2024
102,1,1,1237,9/3/2024
103,1,1,1238,9/3/2024
104,,0,1239,9/3/2024
105,0,1,1240,9/3/2024
106,,0,1241,9/3/2024
107,1,1,1242,9/3/2024
108,,0,1243,9/3/2024
109,1,1,1244,9/3/2024
110,1,1,1245,9/3/2024
111,1,1,1246,9/3/2024
112,1,1,1247,9/3/2024
113,,0,1248,9/3/2024
114,0,1,1249,9/3/2024
115,,0,1250,9/3/2024
116,0,1,1251,9/3/2024
117,1,1,1252,9/3/2024
118,1,1,1253,9/3/2024
119,1,1,1254,9/3/2024
120,1,1,1255,9/3/2024
121,1,1,1256,9/3/2024
122,1,1,1257,9/3/2024
123,1,1,1258,9/3/2024
124,,0,1259,9/3/2024
125,0,1,1260,9/3/2024
126,1,1,1261,9/3/2024
127,0,1,1262,9/3/2024
128,0,1,1263,9/3/2024
129,0,1,1264,9/3/2024
130,1,1,1265,9/3/2024
131,0,1,1266,9/3/2024
132,1,1,1267,9/3/2024
133,1,1,1268,9/3/2024
134,0,1,1269,9/3/2024
135,1,1,1270,9/3/2024
136,1,1,1271,9/3/2024
137,1,1,1272,9/3/2024
138,1,1,1273,9/3/2024
139,1,1,1274,9/3/2024
140,1,1,1275,9/3/2024
141,1,1,1276,9/3/2024
142,1,1,1277,9/3/2024
143,1,1,1278,9/3/2024
144,1,1,1279,9/3/2024
145,,0,1280,9/3/2024
146,0,1,1281,9/3/2024
147,,0,1282,9/3/2024
148,,0,1283,9/3/2024
149,0,1,1284,9/3/2024
150,1,1,1285,9/3/2024
151,0,1,1286,9/3/2024
152,,0,1287,9/3/2024
153,0,1,1288,9/3/2024
154,0,1,1289,9/3/2024
155,,0,1290,9/3/2024
156,1,1,1291,9/3/2024
157,1,1,1292,9/3/2024
158,1,1,1293,9/3/2024
159,1,1,1294,9/3/2024
160,1,1,1295,9/3/2024
161,0,1,1296,9/3/2024
162,0,1,1297,9/3/2024
163,1,1,1298,9/3/2024
164,1,1,1299,9/3/2024
165,1,1,1300,9/3/2024
166,0,1,1301,9/3/2024
167,0,1,1302,9/3/2024
168,1,1,1303,9/3/2024
169,1,1,1304,9/3/2024
170,,0,1305,9/3/2024
171,1,1,1306,9/3/2024
172,0,1,1307,9/3/2024
173,0,1,1308,9/3/2024
174,1,1,1309,9/3/2024
175,1,1,1310,9/3/2024
176,0,1,1311,9/3/2024
177,1,1,1312,9/3/2024
178,1,1,1313,9/3/2024
179,1,1,1314,9/3/2024
180,0,1,1315,9/3/2024
181,,0,1316,9/3/2024
182,,0,1317,9/3/2024
183,1,1,1318,9/3/2024
184,0,1,1319,9/3/2024
185,0,1,1320,9/3/2024
186,0,1,1321,9/3/2024
187,1,1,1322,9/3/2024
188,0,1,1323,9/3/2024
189,1,1,1324,9/3/2024
190,,0,1325,9/3/2024
191,1,1,1326,9/3/2024
192,,0,1327,9/3/2024
193,1,1,1328,9/3/2024
194,1,1,1329,9/3/2024
195,1,1,1330,9/3/2024
196,1,1,1331,9/3/2024
197,,0,1332,9/3/2024
198,1,1,1333,9/3/2024
199,1,1,1334,9/3/2024
200,1,1,1335,9/3/2024
201,1,1,1336,9/3/2024
202,0,1,1337,9/3/2024
203,1,1,1338,9/3/2024
204,0,1,1339,9/3/2024
205,1,1,1340,9/3/2024
206,0,1,1341,9/3/2024
207,1,1,1342,9/3/2024
208,,0,1343,9/3/2024
209,1,1,1344,9/3/2024
