ObjectID,GlobalID,plantID,phenology,survival,lengthInCm,notes,date,plantID_db,ParentGlobalID,CreationDate,Creator,EditDate,Editor,Plant Position In Row
6,16346d12-2560-49de-a069-9354465bebb2,1,0,1,,,6/26/2024 6:00:00 PM,1136,bacd4769-d06f-4054-9d2d-785720f673fa,6/26/2024 10:22:42 PM,agoebl,6/26/2024 10:22:42 PM,agoebl,1
7,ae6f7d35-9df9-47f8-ac7f-70eb4254ee73,2,0,1,,,6/26/2024 6:00:00 PM,1137,bacd4769-d06f-4054-9d2d-785720f673fa,6/26/2024 10:22:42 PM,agoebl,6/26/2024 10:22:42 PM,agoebl,2
8,56314eeb-5223-48a6-9864-61191a33978d,3,,0,,,6/26/2024 6:00:00 PM,1138,bacd4769-d06f-4054-9d2d-785720f673fa,6/26/2024 10:22:42 PM,agoebl,6/26/2024 10:22:42 PM,agoebl,3
9,6a350d1f-4b4a-4297-b470-928c80591997,4,0,1,,,6/26/2024 6:00:00 PM,1139,bacd4769-d06f-4054-9d2d-785720f673fa,6/26/2024 10:22:42 PM,agoebl,6/26/2024 10:22:42 PM,agoebl,4
10,38589ee7-01c8-4363-b8a6-bb3a856533c9,5,0,1,,,6/26/2024 6:00:00 PM,1140,bacd4769-d06f-4054-9d2d-785720f673fa,6/26/2024 10:22:42 PM,agoebl,6/26/2024 10:22:42 PM,agoebl,5
11,5a2cc8de-d332-4e2f-8b99-6e2546c5c442,6,0,1,,,6/26/2024 6:00:00 PM,1141,bacd4769-d06f-4054-9d2d-785720f673fa,6/26/2024 10:22:42 PM,agoebl,6/26/2024 10:22:42 PM,agoebl,6
12,dcde9693-559c-4e2c-83ed-2f38893b28fe,7,1,1,,,6/26/2024 6:00:00 PM,1142,bacd4769-d06f-4054-9d2d-785720f673fa,6/26/2024 10:22:42 PM,agoebl,6/26/2024 10:22:42 PM,agoebl,7
13,7623501d-689c-4378-914e-f5a8c3690348,8,0,1,,,6/26/2024 6:00:00 PM,1143,bacd4769-d06f-4054-9d2d-785720f673fa,6/26/2024 10:22:42 PM,agoebl,6/26/2024 10:22:42 PM,agoebl,8
14,f0103b35-c931-45bb-989c-2cbe57b60284,9,0,1,,,6/26/2024 6:00:00 PM,1144,bacd4769-d06f-4054-9d2d-785720f673fa,6/26/2024 10:22:42 PM,agoebl,6/26/2024 10:22:42 PM,agoebl,9
15,e3e455f0-c059-4c6e-9ca5-9aa0ee4dbe10,10,0,1,,,6/26/2024 6:00:00 PM,1145,bacd4769-d06f-4054-9d2d-785720f673fa,6/26/2024 10:22:42 PM,agoebl,6/26/2024 10:22:42 PM,agoebl,10
16,46317aa3-f93b-4006-bfd3-7148f687fd91,11,0,1,,,6/26/2024 6:00:00 PM,1146,bacd4769-d06f-4054-9d2d-785720f673fa,6/26/2024 10:22:42 PM,agoebl,6/26/2024 10:22:42 PM,agoebl,11
17,58f593e5-0493-406b-85d0-1360cd067568,12,1,1,,,6/26/2024 6:00:00 PM,1147,bacd4769-d06f-4054-9d2d-785720f673fa,6/26/2024 10:22:42 PM,agoebl,6/26/2024 10:22:42 PM,agoebl,12
18,860c4c93-5340-45e6-9968-8e5e96321b3f,13,1,1,,,6/26/2024 6:00:00 PM,1148,bacd4769-d06f-4054-9d2d-785720f673fa,6/26/2024 10:22:42 PM,agoebl,6/26/2024 10:22:42 PM,agoebl,13
19,eaa8c4aa-59a8-463f-8ad4-b5ec43165db5,14,0,1,,,6/26/2024 6:00:00 PM,1149,bacd4769-d06f-4054-9d2d-785720f673fa,6/26/2024 10:22:42 PM,agoebl,6/26/2024 10:22:42 PM,agoebl,14
20,21231eb8-f2f6-4df8-a09d-a384f8677677,15,0,1,,,6/26/2024 6:00:00 PM,1150,bacd4769-d06f-4054-9d2d-785720f673fa,6/26/2024 10:22:42 PM,agoebl,6/26/2024 10:22:42 PM,agoebl,15
21,a5f39e6d-0da5-417c-ac1c-a8f5efd6e88d,16,0,1,,,6/26/2024 6:00:00 PM,1151,bacd4769-d06f-4054-9d2d-785720f673fa,6/26/2024 10:22:42 PM,agoebl,6/26/2024 10:22:42 PM,agoebl,16
22,069fadb8-5635-478e-849d-6691a9a117dd,17,,0,,Dried plant visible.,6/26/2024 6:00:00 PM,1152,bacd4769-d06f-4054-9d2d-785720f673fa,6/26/2024 10:22:42 PM,agoebl,6/26/2024 10:22:42 PM,agoebl,17
23,d11f8fd6-6f63-4b85-a84e-dd07a04dee48,18,0,1,,,6/26/2024 6:00:00 PM,1153,bacd4769-d06f-4054-9d2d-785720f673fa,6/26/2024 10:22:42 PM,agoebl,6/26/2024 10:22:42 PM,agoebl,18
24,9960c9fd-2f88-4d25-9013-76baf308c847,19,,0,,Dried plant present,6/26/2024 6:00:00 PM,1154,bacd4769-d06f-4054-9d2d-785720f673fa,6/26/2024 10:22:42 PM,agoebl,6/26/2024 10:22:42 PM,agoebl,19
25,8e5afd23-94b1-4b47-ab5c-27048e35f9ac,20,0,1,,,6/26/2024 6:00:00 PM,1155,bacd4769-d06f-4054-9d2d-785720f673fa,6/26/2024 10:22:42 PM,agoebl,6/26/2024 10:22:42 PM,agoebl,20
26,5037de9b-cfeb-4fb7-8910-3c05d6e0098a,21,0,1,,,6/26/2024 6:00:00 PM,1156,bacd4769-d06f-4054-9d2d-785720f673fa,6/26/2024 10:22:42 PM,agoebl,6/26/2024 10:22:42 PM,agoebl,21
27,2276073b-04ae-4e96-8a7a-5954458a306f,22,,0,,,6/26/2024 6:00:00 PM,1157,bacd4769-d06f-4054-9d2d-785720f673fa,6/26/2024 10:22:42 PM,agoebl,6/26/2024 10:22:42 PM,agoebl,22
28,39c3c311-1c09-4411-bd9d-a8eee9dabac7,23,1,1,,,6/26/2024 6:00:00 PM,1158,bacd4769-d06f-4054-9d2d-785720f673fa,6/26/2024 10:22:42 PM,agoebl,6/26/2024 10:22:42 PM,agoebl,23
29,d06307bf-cbb3-47c1-923a-460902293af7,24,0,1,,,6/26/2024 6:00:00 PM,1159,bacd4769-d06f-4054-9d2d-785720f673fa,6/26/2024 10:22:42 PM,agoebl,6/26/2024 10:22:42 PM,agoebl,24
30,d2bbd236-8b9d-4562-90b0-8e93181de157,25,0,1,,,6/26/2024 6:00:00 PM,1160,bacd4769-d06f-4054-9d2d-785720f673fa,6/26/2024 10:22:42 PM,agoebl,6/26/2024 10:22:42 PM,agoebl,25
31,66cbbc56-bfe4-4c78-b783-2fb4cf337bcc,26,0,1,,,6/26/2024 6:00:00 PM,1161,bacd4769-d06f-4054-9d2d-785720f673fa,6/26/2024 10:22:42 PM,agoebl,6/26/2024 10:22:42 PM,agoebl,26
32,18550dcc-e74c-4caf-8123-654a142c619c,27,,0,,,6/26/2024 6:00:00 PM,1162,bacd4769-d06f-4054-9d2d-785720f673fa,6/26/2024 10:22:42 PM,agoebl,6/26/2024 10:22:42 PM,agoebl,27
33,e3b4cbe0-33d8-44a3-a49c-a73a76667a56,28,,0,,,6/26/2024 6:00:00 PM,1163,bacd4769-d06f-4054-9d2d-785720f673fa,6/26/2024 10:22:42 PM,agoebl,6/26/2024 10:22:42 PM,agoebl,28
34,eaa7e1dd-1aa3-4d4b-86d2-e513e51bf59a,29,0,1,,,6/26/2024 6:00:00 PM,1164,bacd4769-d06f-4054-9d2d-785720f673fa,6/26/2024 10:22:42 PM,agoebl,6/26/2024 10:22:42 PM,agoebl,29
35,4e3cd962-b4f9-42eb-a484-2ad8aa4e0768,30,0,1,,,6/26/2024 6:00:00 PM,1165,bacd4769-d06f-4054-9d2d-785720f673fa,6/26/2024 10:22:42 PM,agoebl,6/26/2024 10:22:42 PM,agoebl,30
36,63dc6aae-296a-4b9a-89bd-3d68fbd8bd40,31,0,1,,,6/26/2024 6:00:00 PM,1166,1697eef7-ac8f-43e6-a034-3473e7d57191,6/26/2024 10:22:43 PM,agoebl,6/26/2024 10:22:43 PM,agoebl,1
37,c2fafca9-5efe-4369-bbb7-beebf856d16a,32,0,1,,,6/26/2024 6:00:00 PM,1167,1697eef7-ac8f-43e6-a034-3473e7d57191,6/26/2024 10:22:43 PM,agoebl,6/26/2024 10:22:43 PM,agoebl,2
38,81160947-8950-436e-912a-c75832d8b119,33,0,1,,"2023 marked dead, missed ?",6/26/2024 6:00:00 PM,1168,1697eef7-ac8f-43e6-a034-3473e7d57191,6/26/2024 10:22:43 PM,agoebl,6/26/2024 10:22:43 PM,agoebl,3
39,df58ecdf-650b-4a87-b7be-510c901b3ac8,34,0,1,,,6/26/2024 6:00:00 PM,1169,1697eef7-ac8f-43e6-a034-3473e7d57191,6/26/2024 10:22:43 PM,agoebl,6/26/2024 10:22:43 PM,agoebl,4
40,30afbd7b-9fd0-438c-876f-523206dc4324,35,,0,,,6/26/2024 6:00:00 PM,1170,1697eef7-ac8f-43e6-a034-3473e7d57191,6/26/2024 10:22:43 PM,agoebl,6/26/2024 10:22:43 PM,agoebl,5
41,a8e1f06e-dfda-4369-8863-5f1e677118f2,36,0,1,,,6/26/2024 6:00:00 PM,1171,1697eef7-ac8f-43e6-a034-3473e7d57191,6/26/2024 10:22:43 PM,agoebl,6/26/2024 10:22:43 PM,agoebl,6
42,596831ce-85c7-454f-b7f3-fb16cd777907,37,,0,,,6/26/2024 6:00:00 PM,1172,1697eef7-ac8f-43e6-a034-3473e7d57191,6/26/2024 10:22:43 PM,agoebl,6/26/2024 10:22:43 PM,agoebl,7
43,3343d57b-8e89-4762-8e31-15af2d44ee50,38,0,1,,,6/26/2024 6:00:00 PM,1173,1697eef7-ac8f-43e6-a034-3473e7d57191,6/26/2024 10:22:43 PM,agoebl,6/26/2024 10:22:43 PM,agoebl,8
44,23c8ac7a-4413-4408-a50c-512d31a58789,39,,0,,,6/26/2024 6:00:00 PM,1174,1697eef7-ac8f-43e6-a034-3473e7d57191,6/26/2024 10:22:43 PM,agoebl,6/26/2024 10:22:43 PM,agoebl,9
45,9d2bf9e6-77f1-468c-8b75-da3523828928,40,,0,,,6/26/2024 6:00:00 PM,1175,1697eef7-ac8f-43e6-a034-3473e7d57191,6/26/2024 10:22:43 PM,agoebl,6/26/2024 10:22:43 PM,agoebl,10
46,a0729505-268c-4553-996e-87ffd2a35011,41,0,1,,,6/26/2024 6:00:00 PM,1176,1697eef7-ac8f-43e6-a034-3473e7d57191,6/26/2024 10:22:43 PM,agoebl,6/26/2024 10:22:43 PM,agoebl,11
